tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-07-03 20:00,1,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/28f172edf762aa021969a32fab222dd0_1783108793.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_01.mp4
2026-07-03 20:03,1,2,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/10e51a679b5ea69e41227fe5f64c8a90_1783108969.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_02.mp4
2026-07-03 20:08,1,3,Ihsan,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/f2f04679d2e81d7e453617459880f3d9_1783109252.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_03.mp4
2026-07-03 20:11,1,4,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/110fe0ae59d5541d12cc71206d7013bc_1783109427.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_04.mp4
2026-07-03 20:13,1,5,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/0aa8d402cff66797b00d16b85eca17b4_1783109586.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_05.mp4
2026-07-03 20:16,1,6,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/2c7cbf9a11a934708fb854a566527db2_1783109789.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep01/shots/shot_06.mp4
2026-07-03 13:51,1,5,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/85b58e0354063aba40d3c34701349172_1783111723.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-archive\episodes\ep01\shots\shot_05.mp4
2026-07-03 13:53,1,6,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/b94f14ac5f8ac6e9c95841103b82b93a_1783112002.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-archive\episodes\ep01\shots\shot_06.mp4
2026-07-05 19:54,2,1,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/425c817b8d591f3a10ad71253b49e3c2_1783281223.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_01.mp4
2026-07-05 19:59,2,2,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/f49675f2412910a6e48b65f167123f5c_1783281529.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_02.mp4
2026-07-05 20:03,2,3,Ihsan,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/a7b8463bfbca27e74f24e374db7c31c5_1783281748.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_03.mp4
2026-07-05 20:07,2,4,Ihsan,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/c82beb8c3599cf7b6314c4726bef363c_1783282019.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_04.mp4
2026-07-05 20:11,2,5,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/4772c336f77ffc32d30df75ae646a1f9_1783282238.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_05.mp4
2026-07-05 20:14,2,6,,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/e6a86df124cae8f5a9d959d98276798b_1783282405.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep02/shots/shot_06.mp4
2026-07-06 20:27,3,1,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/15aa67e530a2ebe33b720842823d8625_1783369598.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep03/shots/shot_01.mp4
2026-07-06 20:29,3,2,Ihsan,,10,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/6440618987011371f67aaef26fa1641a_1783369739.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep03/shots/shot_02.mp4
2026-07-06 20:31,3,3,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/547498a1e07910979272f995e189d8bc_1783369878.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-archive/episodes/ep03/shots/shot_03.mp4
