tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-09-10 22:04,1,1,Ihsan,,8,1080p,,315.0,1.575,qc_fail,https://tempfile.aiquickdraw.com/v/28f76698488310e79ef83a970754a331_1789102682.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_01.mp4
2026-09-10 22:12,1,1,Ihsan,,8,1080p,,210.0,1.05,ok,https://tempfile.aiquickdraw.com/v/4a2e098044132ffc24d4a7f70334621c_1789103282.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_01.mp4
2026-09-10 22:18,1,2,Ihsan,,8,1080p,,210.0,1.05,ok,https://tempfile.aiquickdraw.com/v/0fc5306edcef1784983e9e601f6da317_1789103752.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_02.mp4
2026-09-11 00:18,1,3,Ihsan,,6,1080p,,168.0,0.84,qc_fail,https://tempfile.aiquickdraw.com/v/666bf4fe266379c0cf7e857ad54655d5_1789110968.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_03.mp4
2026-09-11 00:29,1,3,Ihsan,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/8009e725361142a7b7dd7b3d1231a178_1789111728.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_03.mp4
2026-09-11 00:34,1,1,,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/3216ac238dcad74c44d5c8f6413041d3_1789112032.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_01.mp4
2026-09-11 00:36,1,2,,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/ad3b4fee55ce4d32bc6555a71c8d347b_1789112148.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_02.mp4
2026-09-11 01:26,1,1,,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/168321371f9b32077ced04e317bf932e_1789115139.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep01\shots\shot_01.mp4
2026-09-11 01:30,2,1,,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/8c286b449195cefb854a8aea41ff38f6_1789115412.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep02\shots\shot_01.mp4
2026-09-11 01:38,3,1,,,6,1080p,,84.0,0.42,ok,https://tempfile.aiquickdraw.com/v/8b138bb2bd79786d9357ba9fb8b0c463_1789115858.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep03\shots\shot_01.mp4
2026-09-11 01:43,4,1,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/d4186b9e174a7c3fb1068c4c9e6b9f87_1789116180.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep04\shots\shot_01.mp4
2026-09-11 01:46,4,2,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/da1b9c2900f2406ce18c7953fd295122_1789116344.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep04\shots\shot_02.mp4
2026-09-11 02:05,5,1,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/4ca10899802eedaa9f0d2ec8f031201d_1789117475.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep05\shots\shot_01.mp4
2026-09-11 02:07,5,2,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/d412091495a22fb417c0e1f86cdedb1e_1789117635.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep05\shots\shot_02.mp4
2026-09-11 02:10,5,3,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/ed048aa0efac3ce9c3e4b27733cb0b1d_1789117772.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep05\shots\shot_03.mp4
2026-09-11 11:14,6,environment_ref_jungle_set,,,,1K,,8.0,0.04,ok,https://i.ibb.co/wZJLBG7T/jungle-set.png,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\refs\environments\jungle_set.png
2026-09-11 11:15,6,creature_ref,,,,1K,,8.0,0.04,ok,https://i.ibb.co/zTyBvwsV/ep06-giant-crocodile-head-practical-prop.png,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\refs\props\ep06_giant_crocodile_head_practical_prop.png
2026-09-11 11:18,6,1,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/42a4ff59466c11d94f010665f14b3ae5_1789150646.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep06\shots\shot_01.mp4
2026-09-11 11:21,6,2,Ihsan,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/262a65312ac7d06fe12dcb8600a767ad_1789150872.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep06\shots\shot_02.mp4
2026-09-11 11:27,6,3,Ihsan,,8,1080p,,210.0,1.05,ok,https://tempfile.aiquickdraw.com/v/f4dd25cfbbeafc8f52dc471d5e47159e_1789151038.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\wild-encounter\episodes\ep06\shots\shot_03.mp4
