tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-06-16 14:10,1,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/1832b9fbe6f67f55b51a22e6372d3741_1781644233.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_01.mp4
2026-06-16 14:12,1,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/e5c6ea9d7f3f38fa5b679ecf6a668277_1781644354.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_02.mp4
2026-06-16 14:16,1,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/9fd0f79209424043e68bbb06217196f0_1781644555.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_03.mp4
2026-06-16 14:18,1,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/1fa85f9c6dcb33a8ee2ef82ec259f2cb_1781644711.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_04.mp4
2026-06-16 14:21,1,5,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/c291495131703d9db03a8acb46e982cb_1781644882.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_05.mp4
2026-06-16 14:23,1,6,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/ae3781931b8485ae12329bb34e298b12_1781645022.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\infinite-trip\episodes\ep01\shots\shot_06.mp4
2026-06-17 17:44,2,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/c4dbf1122f1a418f4df611ae5f75d566_1781718254.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep02/shots/shot_01.mp4
2026-06-17 17:48,2,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/1d36db26b04d7a1b11b39a097860cb25_1781718474.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep02/shots/shot_02.mp4
2026-06-17 17:50,2,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/2935c059c13d9acd272e68c6a300fd9e_1781718606.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep02/shots/shot_03.mp4
2026-06-17 17:52,2,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/38034c3ff37cde5e30392fbed7797fcc_1781718732.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep02/shots/shot_04.mp4
2026-06-18 18:05,3,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/aed40b82b25ea33668f7a208e0b76345_1781805938.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep03/shots/shot_01.mp4
2026-06-18 18:08,3,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/18c84c26582f01a746d16ce77d24fccf_1781806081.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep03/shots/shot_02.mp4
2026-06-18 18:10,3,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/3ab2bb4f1b66225ac50fb100ab533765_1781806207.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep03/shots/shot_03.mp4
2026-06-18 18:12,3,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/56a1066b88d54b56d08dd1e305c8578b_1781806344.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep03/shots/shot_04.mp4
2026-06-19 16:59,4,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/a677d7812bc85828ccb2278ddf539fac_1781888384.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep04/shots/shot_01.mp4
2026-06-19 17:02,4,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/66ec027dcdd6fb6a382b5e3458d12894_1781888512.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep04/shots/shot_02.mp4
2026-06-19 17:04,4,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/267d94ede2b7ace8004ed80886e8ad21_1781888650.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep04/shots/shot_03.mp4
2026-06-19 17:06,4,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/61b3dc3bed4e1f66d60413e1fb95090f_1781888783.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep04/shots/shot_04.mp4
2026-06-20 16:12,5,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/6fece9b1f5049cf92ff308ed8d057923_1781971958.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep05/shots/shot_01.mp4
2026-06-20 16:15,5,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/4059e0bbbacb04ea4eecdb97e6b4ed18_1781972092.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep05/shots/shot_02.mp4
2026-06-20 16:17,5,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/c47c2ebba5550534fd1ab75360f58dc2_1781972257.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep05/shots/shot_03.mp4
2026-06-20 16:20,5,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/5b63b011be5fbe34b68cb5a32a76146b_1781972415.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep05/shots/shot_04.mp4
2026-06-22 17:52,6,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/ff018973c08404462b5d30b9412535a1_1782150760.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep06/shots/shot_01.mp4
2026-06-22 17:55,6,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/686bf518394a150f30733f14efb89466_1782150919.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep06/shots/shot_02.mp4
2026-06-22 17:57,6,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/6bc7055ab37d0f7cdf91885597bf28c9_1782151063.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep06/shots/shot_03.mp4
2026-06-22 17:59,6,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/33f19c77588f53cd96921e02f8eeaf9c_1782151180.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep06/shots/shot_04.mp4
2026-06-22 18:57,7,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/08274a841d3fe57d9a72cb8fb1957a80_1782154636.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep07/shots/shot_01.mp4
2026-06-22 18:59,7,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/f99eefef3d93b63c0f440d1d1faf2c10_1782154780.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep07/shots/shot_02.mp4
2026-06-22 19:02,7,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/18b551a0256ee6e267b91e1378a37434_1782154945.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/infinite-trip/episodes/ep07/shots/shot_03.mp4
