tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-07-02 10:46,1,1,,,8,720p,,264.0,1.32,ok,https://tempfile.aiquickdraw.com/r/7292631c3f348ce6dec22a286f861d75_1783014336_tv6w5jmb.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-shift\episodes\ep01\shots\shot_01.mp4
2026-07-02 10:50,1,2,,,10,720p,,330.0,1.65,ok,https://tempfile.aiquickdraw.com/r/204c9f58a85fcf21863ef2544d1638c6_1783014575_n92wljzp.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-shift\episodes\ep01\shots\shot_02.mp4
2026-07-02 10:52,1,3,,,10,720p,,330.0,1.65,ok,https://tempfile.aiquickdraw.com/r/67ff9cf6ea40451b2ee797e1c11aec37_1783014734_r8a17en1.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-shift\episodes\ep01\shots\shot_03.mp4
2026-07-02 10:59,1,4,,,10,720p,,330.0,1.65,ok,https://tempfile.aiquickdraw.com/seedance/1783015139334-ocq6lchxpjk.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-shift\episodes\ep01\shots\shot_04.mp4
2026-07-02 11:03,1,5,,,8,720p,,264.0,1.32,ok,https://tempfile.aiquickdraw.com/r/ba495745d88a094bc7fb4b2bcd03b875_1783015360_16yeq1z0.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\night-shift\episodes\ep01\shots\shot_05.mp4
2026-07-04 15:40,2,1,,,8,720p,,264.0,1.32,ok,https://tempfile.aiquickdraw.com/r/4636d081da63054c73310834a1eca176_1783179578_xqnwk7x2.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-shift/episodes/ep02/shots/shot_01.mp4
2026-07-04 15:44,2,2,,,8,720p,,264.0,1.32,ok,https://tempfile.aiquickdraw.com/seedance/1783179848638-nt7iwj9f15o.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-shift/episodes/ep02/shots/shot_02.mp4
2026-07-04 15:48,2,3,,,10,720p,,330.0,1.65,ok,https://tempfile.aiquickdraw.com/r/4fc2696da5545f1495314ee99550c103_1783180073_ydpafnpd.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-shift/episodes/ep02/shots/shot_03.mp4
2026-07-04 15:52,2,4,,,10,720p,,330.0,1.65,ok,https://tempfile.aiquickdraw.com/r/1e10c6b6e98cebad2528dbda184f1bcf_1783180309_cf2ltf93.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-shift/episodes/ep02/shots/shot_04.mp4
2026-07-04 15:56,2,5,,,8,720p,,264.0,1.32,ok,https://tempfile.aiquickdraw.com/seedance/1783180543178-fod5i25yt6.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/night-shift/episodes/ep02/shots/shot_05.mp4
