tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-07-03 18:00,1,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/d3093bc4cbd6d3288b91510f21354a3b_1783101604.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep01/shots/shot_01.mp4
2026-07-03 18:03,1,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/81d02ee50ff31621fdce37f8075807ea_1783101795.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep01/shots/shot_02.mp4
2026-07-03 18:05,1,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/fe9a97f60a40b9232d95d164729f6fd5_1783101925.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep01/shots/shot_03.mp4
2026-07-03 18:09,1,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/2b0e427c7037518068ee9c482ed61d16_1783102147.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep01/shots/shot_04.mp4
2026-07-04 17:38,2,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/e3201ee2470495d90b52e5da88f13930_1783186687.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep02/shots/shot_01.mp4
2026-07-04 17:48,2,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/vw/2f2d20d8ef8de3ab639aa8c4de34eaa6.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep02/shots/shot_02.mp4
2026-07-04 17:53,2,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/vw/54e670986e9144c995482d1cdb9d865a.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep02/shots/shot_03.mp4
2026-07-04 17:57,2,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/a1678c79df98f063749b6db8a95a7f14_1783187814.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep02/shots/shot_04.mp4
2026-07-05 17:42,3,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/229e1bbef063875d7d83d7659a9f8b81_1783273301.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep03/shots/shot_01.mp4
2026-07-05 17:49,3,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/e0b31d170876b612a591f926a4321a74_1783273740.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep03/shots/shot_02.mp4
2026-07-05 17:52,3,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/45707f2bc0bde02c9081f0f2bda9a622_1783273887.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep03/shots/shot_03.mp4
2026-07-05 17:56,3,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/093d4fdc440bc1386ca6dcb4238461ee_1783274167.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/planetfall/episodes/ep03/shots/shot_04.mp4
