tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-06-16 15:05,1,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/9b7c464767f9de2bc5f0e4632036c022_1781647520.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_01.mp4
2026-06-16 15:09,1,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/55204669b4af2156d93796bb549c4cee_1781647746.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_02.mp4
2026-06-16 15:12,1,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/b0bd56f9535b883bb6357ddee0c4b746_1781647915.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_03.mp4
2026-06-16 15:14,1,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/902db7295e6ddee4b75a451b4c290cdc_1781648045.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_04.mp4
2026-06-16 15:19,1,5,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/3d969624768adef80a60157bb637a0b2_1781648332.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_05.mp4
2026-06-16 15:22,1,6,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/cb749a11502d674ea5559da2948bfff6_1781648559.mp4,C:\Users\ihsan\Desktop\Antigravity\Projects\Youtube\output\series\secrets-anatolia\episodes\ep01\shots\shot_06.mp4
2026-06-17 18:00,2,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/737c6ec5b860c129c27ad1524bfc88b9_1781719209.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep02/shots/shot_01.mp4
2026-06-17 18:02,2,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/0632522ece7dfc88866bcf23bfc72194_1781719357.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep02/shots/shot_02.mp4
2026-06-17 18:05,2,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/b5f787fdc8cf7dcbbe49cb8828bcde65_1781719517.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep02/shots/shot_03.mp4
2026-06-17 18:07,2,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/7ff2575fe17150a8fcc8a5db17e8ca27_1781719647.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep02/shots/shot_04.mp4
2026-06-18 18:20,3,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/3beb03cbb189b9527d6eed20f269b9fd_1781806829.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep03/shots/shot_01.mp4
2026-06-18 18:22,3,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/6fe05c4d408aa9f0297f15984154eacd_1781806950.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep03/shots/shot_02.mp4
2026-06-18 18:25,3,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/7cff686923d81bb127b987759cf8e192_1781807090.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep03/shots/shot_03.mp4
2026-06-18 18:28,3,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/f77c20f2732efe5d40fa7bd744fcb057_1781807294.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep03/shots/shot_04.mp4
2026-06-19 17:16,4,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/ec7f5832f13e4f778ba6698bb4ec0052_1781889411.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep04/shots/shot_01.mp4
2026-06-19 17:19,4,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/8a4ac19cc76935f1ddaa37c808805d0e_1781889540.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep04/shots/shot_02.mp4
2026-06-19 17:22,4,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/32f0c26867e6c76a19546d0399ad2554_1781889726.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep04/shots/shot_03.mp4
2026-06-19 17:24,4,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/5025af7b44f91507cd2831047a81b942_1781889844.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep04/shots/shot_04.mp4
2026-06-20 16:28,5,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/7d74b57136b8cfb51ff787d241712239_1781972926.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep05/shots/shot_01.mp4
2026-06-20 16:30,5,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/9d14a8c6eeb3596faa0d743665527cde_1781973023.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep05/shots/shot_02.mp4
2026-06-20 16:33,5,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/a0fc236a572a0d07aa3fd6284c4048a2_1781973179.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep05/shots/shot_03.mp4
2026-06-20 16:36,5,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/ada24bc4f9926aad2b14f93c51687b81_1781973357.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep05/shots/shot_04.mp4
2026-06-22 18:07,6,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/86818ca363c25068726df5cc27854b64_1782151629.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep06/shots/shot_01.mp4
2026-06-22 18:09,6,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/4c4618f12114ef86ddec33545bacf84a_1782151756.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep06/shots/shot_02.mp4
2026-06-22 18:11,6,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/fe2ee06248d1de849d39d79d5aaab420_1782151892.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/secrets-anatolia/episodes/ep06/shots/shot_03.mp4
