tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-06-17 18:15,1,1,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-17 18:18,1,2,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-17 18:20,1,3,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-17 18:24,1,4,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-17 18:27,1,5,,"sadaltager, orus",8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-17 18:29,1,6,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
2026-06-18 18:35,1,1,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-18 18:38,1,2,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-18 18:41,1,3,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-18 18:43,1,4,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-18 18:46,1,5,,"sadaltager, orus",8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-18 18:49,1,6,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
2026-06-19 17:31,1,1,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-19 17:33,1,2,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-19 17:36,1,3,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-19 17:39,1,4,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-19 17:42,1,5,,"sadaltager, orus",8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-19 17:45,1,6,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
2026-06-20 16:42,1,1,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-20 16:45,1,2,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-20 16:48,1,3,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-20 16:51,1,4,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-20 16:53,1,5,,"sadaltager, orus",8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-20 16:56,1,6,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
2026-06-21 16:17,1,1,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-21 16:20,1,2,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-21 16:23,1,3,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-21 16:26,1,4,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-21 16:29,1,5,,"sadaltager, orus",8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-21 16:32,1,6,,orus,8,1080p,,,,FAIL,,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
2026-06-22 15:50,1,1,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/c86ced44abc020f3f44bd8e5374f5fd3_1782143429.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_01.mp4
2026-06-22 15:53,1,2,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/2cb8b812e858d17771d14f83334bb059_1782143596.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_02.mp4
2026-06-22 15:57,1,3,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/7e7562c99bbd9921845a53d1909a7cc9_1782143839.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_03.mp4
2026-06-22 15:59,1,4,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/f2034242046aaa0e497e6e24e564d754_1782143973.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_04.mp4
2026-06-22 16:01,1,5,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/ae57d4be567aaef450af18f2c5c93db2_1782144082.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_05.mp4
2026-06-22 16:03,1,6,,,8,1080p,,150.0,0.75,ok,https://tempfile.aiquickdraw.com/v/0c7f05d639ee0bfe292f563368260455_1782144221.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/the-signal/episodes/ep01/shots/shot_06.mp4
